feature,class_label,file_path
"[[ 10.189642  22.794643  14.766516 ... -28.354069 -45.19981  -45.19981 ]
 [ 17.216696  23.077326  29.401821 ... -22.74792  -45.19981  -45.19981 ]
 [ 24.524937  31.49764   34.80019  ... -17.911907 -45.19981  -45.19981 ]
 ...
 [-45.19981  -45.19981  -45.19981  ... -45.19981  -45.19981  -45.19981 ]
 [-45.19981  -45.19981  -45.19981  ... -45.19981  -45.19981  -45.19981 ]
 [-45.19981  -45.19981  -45.19981  ... -45.19981  -45.19981  -45.19981 ]]",gun_shot,fold1/102305-6-0-0.wav
"[[  1.7995207  31.146929   40.727596  ...   7.800364  -10.824884
   10.84218  ]
 [  8.621785   31.359581   37.724102  ...  11.230135    5.4585905
   15.563681 ]
 [  7.565652   30.319569   23.261892  ...  18.739166   16.81677
   18.214281 ]
 ...
 [-37.759636  -37.759636  -37.759636  ... -37.759636  -37.759636
  -36.68299  ]
 [-37.759636  -37.759636  -37.759636  ... -37.759636  -37.759636
  -36.68329  ]
 [-37.759636  -37.759636  -37.759636  ... -37.759636  -37.759636
  -36.68329  ]]",gun_shot,fold9/106955-6-0-0.wav
"[[-11.348635  -12.894024  -27.737665  ... -14.783588  -18.212399
  -49.09159  ]
 [-12.502781  -14.220729  -14.28356   ...  -9.761086  -10.2190075
  -13.915636 ]
 [-13.35524   -16.657093   -8.963127  ... -14.283922   -5.366458
   -6.9448233]
 ...
 [-48.541542  -49.09159   -49.09159   ... -49.09159   -35.868332
  -25.708405 ]
 [-48.544037  -49.09159   -49.09159   ... -49.09159   -35.869335
  -25.708828 ]
 [-48.54435   -49.09159   -49.09159   ... -49.09159   -35.86914
  -25.708973 ]]",siren,fold7/102853-8-0-0.wav
"[[ -8.942371  -43.686176  -15.5078335 ... -22.412956  -25.166676
  -23.859032 ]
 [ -6.2785683 -10.382342  -20.22432   ... -14.345218  -13.992833
  -16.470337 ]
 [ -4.7916512  -8.061195  -20.89399   ...  -4.0159597 -13.890385
  -14.778433 ]
 ...
 [-46.32725   -46.32725   -46.32725   ... -46.32725   -46.32725
  -37.466324 ]
 [-46.32725   -46.32725   -46.32725   ... -46.32725   -46.32725
  -37.46636  ]
 [-46.32725   -46.32725   -46.32725   ... -46.32725   -46.32725
  -37.466103 ]]",siren,fold7/102853-8-0-1.wav
"[[ 20.354088  12.4953     9.345543 ...  14.643499  17.490974  17.56493 ]
 [ 29.838737  29.198896  24.930305 ...  21.526384  22.701653  25.365997]
 [ 34.0225    37.500244  34.865044 ...  35.920513  35.051636  31.616257]
 ...
 [-40.951958 -40.951958 -40.951958 ... -40.951958 -34.510895 -24.349783]
 [-40.951958 -40.951958 -40.951958 ... -40.951958 -34.510246 -24.349852]
 [-40.951958 -40.951958 -40.951958 ... -40.951958 -34.510075 -24.349812]]",engine_idling,fold10/102857-5-0-0.wav
"[[ 21.151316  22.703093  10.552684 ... -13.726049   8.783657  26.298113]
 [ 24.715416  18.361132  27.02548  ...  19.153423  25.54543   31.875467]
 [ 27.870798  33.66649   36.651886 ...  35.733772  37.250687  35.795036]
 ...
 [-39.77116  -40.987404 -40.987404 ... -40.987404 -40.987404 -33.899124]
 [-39.772884 -40.987404 -40.987404 ... -40.987404 -40.987404 -33.898693]
 [-39.77367  -40.987404 -40.987404 ... -40.987404 -40.987404 -33.89892 ]]",engine_idling,fold10/102857-5-0-1.wav
"[[ -3.2085881   -6.773429   -25.601759   ... -21.568449   -16.8056
   -7.5103974 ]
 [ -3.1949844   -8.094529   -13.062533   ... -13.190312    -9.901789
   -5.8028603 ]
 [  1.7571102    0.54713553   4.002824   ...   6.401721     5.721775
    5.5747824 ]
 ...
 [-59.55946    -59.55946    -59.55946    ... -59.55946    -51.775253
  -41.485653  ]
 [-59.55946    -59.55946    -59.55946    ... -59.55946    -51.656704
  -41.508656  ]
 [-59.55946    -59.55946    -59.55946    ... -59.55946    -51.692184
  -41.49792   ]]",jackhammer,fold1/103074-7-0-0.wav
"[[ -2.4804132  -5.315018   -7.7865415 ...  -7.448407  -12.837176
    5.591481 ]
 [ -1.2193208  -5.1676464  -4.190983  ... -11.673462   -2.7701638
    6.057462 ]
 [  0.6679206   0.682838   -1.5230491 ...   2.9710865   2.7904081
   10.719751 ]
 ...
 [-51.257874  -57.214752  -57.214752  ... -57.214752  -52.93434
  -42.834045 ]
 [-51.14412   -57.214752  -57.214752  ... -57.214752  -52.886414
  -42.857292 ]
 [-51.088314  -56.91488   -57.214752  ... -57.214752  -53.26631
  -42.90403  ]]",jackhammer,fold1/103074-7-0-1.wav
"[[-45.80554    -28.671762   -18.228313   ...   1.0857544  -22.719593
  -20.735012  ]
 [-45.80554    -29.874569   -21.810589   ...   0.78226185  -5.242331
   -6.9711466 ]
 [-45.80554    -33.691757   -32.9063     ...  -5.6384916   -6.1509924
   -3.6551867 ]
 ...
 [-45.80554    -45.80554    -45.80554    ... -45.80554    -40.904343
  -30.730556  ]
 [-45.80554    -45.80554    -45.80554    ... -45.80554    -40.91651
  -30.729113  ]
 [-45.80554    -45.80554    -45.80554    ... -45.80554    -40.916103
  -30.729866  ]]",drilling,fold3/103199-4-0-0.wav
"[[ -0.7803666   1.2204854  -2.0216086 ...  -7.524726   -7.1434565
  -16.576286 ]
 [ -3.094628   -4.0560503  -5.44773   ... -14.819707   -6.3508415
   -4.3937783]
 [ -3.8935056  -5.5243354  -3.844367  ... -18.94281    -6.547964
   -1.7194592]
 ...
 [-35.616684  -41.754333  -42.061584  ... -42.061584  -30.84658
  -20.692348 ]
 [-35.616108  -41.756256  -42.061584  ... -42.061584  -30.846592
  -20.69283  ]
 [-35.617447  -41.763664  -42.061584  ... -42.061584  -30.848125
  -20.693104 ]]",drilling,fold3/103199-4-0-3.wav
